Sex	Age	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039
1	31	431951	431176	446046	448396	443767	461179	463091	476691	490612	481303	474894	478600	466287	467996	465718	454749	450605	439837	429408	421739	428484	439679	447249	463261	473314	487648
1	32	430780	434044	432363	446860	449139	444223	461473	463239	476836	490755	481458	475061	478770	466470	468183	465911	454955	450817	440060	429639	421979	428724	439916	447485	463491	473542
1	33	435537	432348	434853	432818	447254	449248	444203	461311	463084	476676	490592	481308	474922	478633	466347	468063	465799	454853	450724	439979	429569	421917	428661	439850	447417	463419
1	34	436154	436834	432998	435157	433088	447240	449115	443957	461057	462836	476425	490334	481062	474688	478401	466131	467850	465594	454659	450536	439804	429405	421762	428507	439693	447255
1	35	419401	437176	437307	433164	435291	432981	447014	448788	443640	460731	462514	476098	490001	480743	474380	478094	465840	467563	465313	454392	450276	439558	429170	421536	428281	439462
1	36	391384	420161	437435	437296	433134	435048	432651	446583	448359	443222	460303	462090	475668	489564	480320	473968	477685	465446	467174	464930	454025	449915	439210	428836	421212	427957
1	37	386312	392048	420353	437359	437196	432844	434672	432196	446120	447900	442774	459842	461634	475204	489091	479863	473522	477242	465018	466750	464515	453626	449526	438834	428475	420861
1	38	392139	386920	392240	420282	437245	436907	432481	434233	431766	445680	447464	442349	459404	461200	474762	488640	479426	473100	476821	464615	466351	464125	453252	449162	438486	428141
1	39	399506	392681	387085	392193	420173	436954	436543	432056	433812	431355	445257	447044	441939	458980	460782	474335	488203	479004	472693	476417	464228	465969	463751	452897	448816	438157
1	40	405724	399500	392349	386572	391653	419447	436139	435665	431190	432951	430503	444394	446185	441091	458117	459922	473466	487324	478143	471845	475574	463404	465151	462941	452108	448037
1	41	424493	405223	398709	391409	385619	390567	418261	434871	434405	429944	431709	429269	443148	444944	439861	456872	458682	472214	486061	476900	470617	474347	462200	463952	461751	450940
1	42	442516	423991	404465	397822	390513	384622	389507	417106	433695	433238	428792	430561	428133	441998	443797	438729	455724	457538	471059	484892	475752	469487	473220	461096	462853	460664
1	43	454033	441980	423222	403610	396955	389559	383630	388459	416021	432589	432139	427710	429485	427068	440919	442723	437669	454647	456467	469977	483794	474676	468430	472166	460067	461828
1	44	444445	453451	441173	422344	402751	396021	388593	382632	387460	414982	431530	431090	426676	428459	426055	439890	441698	436660	453621	455446	468947	482749	473655	467426	471165	459092
1	45	455317	444208	452939	440601	421789	402165	395409	387955	382015	386844	414325	430851	430423	426027	427816	425426	439246	441062	436038	452981	454812	468302	482090	473020	466809	470550
1	46	455778	455292	443959	452604	440274	421445	401826	395051	387622	381705	386537	413976	430480	430065	425688	427484	425109	438914	440736	435731	452655	454492	467970	481743	472697	466506
1	47	464071	455614	454912	443546	452160	439810	420992	401387	394642	387239	381346	386181	413579	430065	429660	425303	427107	424746	438537	440368	435381	452284	454130	467594	481352	472331
1	48	461610	463744	455107	454362	443011	451570	439224	420427	400880	394167	386793	380926	385765	413118	429584	429195	424857	426671	424326	438101	439939	434973	451855	453707	467159	480902
1	49	465864	461161	463105	454454	453704	442355	450877	438544	419810	400324	393644	386301	380460	385305	412612	429058	428683	424365	426190	423862	437621	439467	434520	451382	453240	466679
1	50	461541	465100	460276	462190	453564	452797	441467	449959	437678	419014	399593	392947	385637	379826	384675	411936	428359	428001	423704	425536	423226	436969	438824	433897	450737	452602
1	51	453132	460429	463890	459065	460981	452370	451605	440305	448800	436574	417981	398630	392018	384743	378962	383816	411027	427427	427085	422813	424653	422361	436088	437949	433044	449861
1	52	444765	451856	459061	462505	457708	459611	451031	450269	439032	447528	435362	416844	397567	390992	383753	378005	382863	410019	426396	426069	421820	423672	421397	435106	436974	432092
1	53	430028	443394	450406	457584	461032	456253	458155	449611	448880	437708	446205	434101	415664	396465	389930	382729	377015	381876	408974	425324	425013	420789	422653	420397	434085	435962
1	54	412989	428541	441814	448801	455968	459409	454660	456566	448084	447388	436283	444780	432744	414390	395275	388782	381624	375945	380808	407843	424163	423868	419673	421545	419310	432976
1	55	403877	411381	426844	440072	447051	454202	457644	452931	454865	446449	445788	434754	443250	431285	413023	393999	387548	380436	374795	379659	406626	422912	422633	418470	420352	418138
