Sex	Age	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039
1	63	338723	333027	341358	342805	340793	352647	363756	375978	383139	390421	405311	418116	425038	432109	435437	430870	432634	424442	423621	413171	421790	410833	393895	376311	370413	363463
1	64	344106	335055	329697	338015	339514	337585	349392	360464	372642	379803	387085	401910	414669	421592	428666	432022	427544	429345	421262	420493	410163	418761	407920	391140	373711	367886
1	65	353019	340053	331413	326189	334492	336045	334201	345955	356986	369115	376274	383552	398307	411016	417939	425011	428396	424011	425849	417881	417165	406960	415535	404818	388202	370938
1	66	370692	348481	336023	327574	322488	330773	332379	330623	342321	353304	365379	372533	379806	394483	407135	414056	421124	424537	420250	422124	414276	413616	403543	412092	401504	385063
1	67	401134	365466	343959	331764	323513	318572	326833	328494	326829	338464	349394	361408	368554	375819	390411	403000	409915	416979	420418	416232	418144	410423	409819	399886	408405	397955
1	68	308634	394905	360251	339171	327252	319206	314415	322648	324365	322793	334358	345229	357158	364273	371526	386023	398541	405447	412503	415969	411890	413840	406253	405710	395927	404412
1	69	297414	303341	388688	354729	334096	322464	314632	309996	318197	319969	318494	329982	340750	352566	359664	366901	381293	393733	400627	407671	411163	407197	409185	401742	401262	391639
1	70	296179	291770	298057	382104	348873	328708	317377	309768	305294	313457	315284	313911	325272	335927	347659	354738	361954	376231	388582	395461	402489	406005	402158	404185	396894	396479
1	71	273379	289943	286140	292465	375125	342658	322983	311966	304589	300284	308403	310285	308997	320243	330818	342457	349511	356702	370852	383107	389966	396974	400512	396790	398854	391723
1	72	242111	267006	283741	280197	286552	367736	336070	316909	306217	299083	294953	303021	304959	303778	314921	325404	336942	343967	351127	365140	377288	384121	391105	394664	391072	393174
1	73	216089	235871	260690	277217	273935	280312	359929	329099	310475	300123	293239	289290	297300	299294	298223	309250	319634	331059	338049	345171	359033	371064	377866	384820	388400	384941
1	74	222378	209944	229708	254064	270364	267345	273737	351692	321735	303669	293670	287047	283284	291228	293276	292316	303218	313492	324792	331741	338818	352515	364415	371182	378098	381697
1	75	218365	215411	203889	223259	247120	263170	260416	266813	343006	313959	296474	286840	280487	276917	284786	286886	286041	296804	306956	318119	325019	332044	345560	357317	364041	370915
1	76	210403	210815	208561	197566	216512	239845	255620	253133	259524	333850	305751	288871	279615	273542	270170	277953	280104	279375	289986	300004	311014	317858	324823	338141	349742	356416
1	77	196229	202349	203398	201409	190954	209446	232212	247686	245466	251839	324183	297074	280824	271961	266176	263007	270694	272893	272284	282727	292597	303440	310217	317115	330218	341647
1	78	183406	187882	194444	195659	193935	184033	202037	224196	239338	237387	243730	313965	287890	272297	263842	258355	255396	262974	265218	264731	274988	284695	295356	302059	308878	321744
1	79	171366	174708	179712	186217	187591	186128	176793	194273	215780	230561	228877	235176	303169	278175	263265	255232	250054	247311	254766	257051	256688	266742	276270	286731	293346	300076
1	80	154878	162278	166221	171233	177660	179182	177979	169222	186141	206949	221335	219916	226154	291766	267898	253699	246104	241243	238721	246038	248362	248123	257957	267289	277526	284041
1	81	143293	145666	153441	157436	162436	168766	170425	169475	161308	177625	197685	211638	210483	216640	279721	257028	243570	236427	231894	229597	236760	239117	239006	248599	257710	267702
1	82	134979	133716	136750	144332	148359	153327	159534	161317	160614	153047	168720	187980	201460	200565	206620	267016	245547	232857	226180	221984	219916	226907	229293	229311	238637	247505
1	83	122881	124832	124506	127614	134972	139009	143919	149980	151872	151406	144446	159431	177838	190805	190161	196092	253643	233446	221550	215352	211501	209665	216468	218875	219018	228051
1	84	109047	112494	115154	115138	118295	125400	129421	134247	140135	142118	141879	135529	149781	167283	179692	179290	185071	239625	220739	209662	203954	200453	198855	205448	207865	208130
1	85	94562	98698	102688	105403	105673	108851	115671	119648	124363	130050	132101	132074	126336	139811	156354	168166	167992	173597	225003	207466	197226	192017	188872	187512	193868	196286
1	86	81066	84491	89030	92903	95644	96168	99338	105840	109743	114319	119774	121872	122039	116907	129564	145098	156270	156309	161710	209828	193670	184282	179579	176792	175662	181759
1	87	70907	71406	75208	79503	83229	85962	86708	89838	95989	99787	104192	109387	111508	111847	107311	119112	133592	144084	144316	149486	194195	179433	170909	166712	164275	163371
1	88	60111	61487	62640	66196	70221	73770	76463	77390	80447	86218	89880	94084	98991	101106	101595	97636	108550	121939	131715	132117	137028	178234	164878	157219	153515	151422
1	89	49450	51237	53084	54266	57554	61287	64630	67247	68316	71267	76630	80124	84096	88689	90771	91384	87978	97982	110252	119282	119827	124454	162099	150139	143329	140108
1	90	40666	41367	43465	45190	46370	49374	52794	55906	58414	59582	62394	67327	70623	74335	78592	80614	81322	78438	87517	98651	106910	107571	111893	145950	135356	129377
1	91	32830	33325	34422	36295	37881	39028	41736	44828	47687	50053	51277	53920	58404	61474	64903	68803	70738	71512	69113	77263	87257	94729	95481	99476	129949	120683
