Sex	Age	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039
1	69	24005	25452	33062	30280	29143	28280	27728	27325	28152	28579	28706	29970	30885	31391	32229	32703	33594	34548	35009	34897	35647	34245	34665	33985	33318	32061
1	70	24560	23429	24893	32360	29655	28558	27726	27199	26817	27641	28074	28208	29458	30362	30870	31704	32180	33066	34014	34475	34373	35120	33745	34166	33501	32850
1	71	22961	23908	22858	24302	31618	28993	27937	27139	26637	26276	27098	27534	27675	28910	29807	30316	31145	31622	32503	33444	33906	33813	34556	33209	33631	32983
1	72	20722	22284	23261	22255	23680	30834	28293	27279	26515	26039	25700	26517	26956	27105	28327	29217	29726	30549	31026	31901	32835	33296	33213	33951	32634	33057
1	73	18871	20051	21622	22589	21627	23030	30014	27559	26587	25858	25408	25091	25902	26344	26501	27708	28590	29099	29916	30393	31260	32184	32645	32572	33304	32019
1	74	19059	18211	19407	20947	21902	20985	22364	29170	26805	25874	25180	24757	24462	25266	25710	25875	27065	27938	28447	29255	29733	30592	31505	31966	31903	32629
1	75	18503	18323	17565	18735	20241	21181	20311	21665	28283	26007	25121	24462	24066	23793	24589	25034	25208	26380	27242	27749	28548	29025	29874	30775	31234	31181
1	76	17736	17722	17612	16899	18042	19511	20435	19613	20937	27357	25175	24334	23711	23341	23092	23877	24322	24505	25656	26505	27011	27799	28274	29112	30000	30458
1	77	16146	16922	16978	16889	16221	17335	18765	19671	18897	20190	26404	24317	23522	22936	22593	22366	23141	23583	23774	24902	25738	26242	27019	27490	28316	29191
1	78	15326	15328	16138	16210	16142	15520	16602	17990	18877	18151	19410	25406	23418	22669	22121	21805	21601	22363	22804	23000	24103	24924	25424	26188	26655	27466
1	79	14229	14464	14538	15327	15414	15367	14790	15840	17180	18046	17369	18590	24359	22470	21769	21259	20970	20788	21536	21973	22175	23250	24055	24549	25299	25761
1	80	12878	13341	13638	13729	14495	14596	14568	14037	15050	16341	17184	16555	17735	23263	21479	20825	20354	20092	19932	20663	21096	21302	22349	23135	23622	24356
1	81	11713	11988	12500	12801	12907	13647	13761	13752	13265	14240	15479	16295	15716	16853	22130	20452	19847	19416	19181	19041	19755	20181	20392	21407	22171	22650
1	82	10938	10813	11147	11646	11950	12069	12780	12906	12914	12472	13405	14590	15377	14848	15939	20952	19384	18828	18434	18226	18107	18801	19219	19434	20414	21154
1	83	9747	9998	9965	10295	10779	11084	11215	11894	12031	12055	11658	12546	13673	14429	13950	14992	19730	18272	17765	17410	17228	17131	17802	18211	18428	19369
