Sex	Age	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039
1	88	60111	61521	62703	66285	70332	73906	76633	77607	80692	86513	90215	94469	99430	101622	102193	98309	109256	122641	132412	132829	137753	179013	165738	158147	154472	152437
1	89	49450	51260	53132	54336	57648	61399	64765	67412	68525	71501	76909	80438	84457	89099	91252	91940	88599	98637	110906	119931	120491	125130	162825	150938	144192	140999
1	90	40666	41375	43489	45236	46434	49459	52895	56027	58560	59769	62602	67576	70905	74660	78960	81045	81822	78994	88107	99241	107497	108172	112506	146609	136081	130160
1	91	32830	33325	34429	36315	37919	39081	41807	44914	47791	50178	51439	54100	58620	61721	65189	69125	71117	71953	69604	77786	87780	95251	96017	100022	130536	121330
1	92	26423	26310	27155	28151	29807	31254	32354	34775	37542	40145	42358	43630	46092	50148	52995	56157	59716	61590	62455	60544	67800	76664	83350	84174	87830	114807
1	93	20496	20667	20958	21704	22584	24013	25293	26309	28422	30848	33165	35181	36426	38666	42255	44831	47672	50845	52579	53446	51927	58278	66039	71945	72793	76088
1	94	14103	15612	16061	16341	16984	17745	18953	20062	20978	22789	24878	26905	28707	29889	31891	35017	37310	39823	42609	44185	45029	43852	49334	56030	61170	62015
1	95	8188	10436	11811	12189	12446	12986	13629	14628	15567	16371	17892	19655	21395	22972	24062	25819	28495	30499	32683	35089	36495	37291	36411	41067	46751	51153
1	96	5076	5873	7666	8705	9014	9239	9682	10211	11018	11795	12481	13730	15187	16647	17997	18975	20484	22733	24450	26311	28352	29580	30314	29680	33562	38303
1	97	3628	3518	4181	5473	6236	6482	6672	7024	7447	8082	8708	9276	10277	11454	12650	13779	14633	15898	17748	19188	20742	22438	23488	24146	23709	26885
1	98	2517	2420	2417	2882	3784	4328	4517	4671	4942	5269	5756	6244	6700	7482	8408	9364	10283	11004	12040	13526	14706	15974	17352	18230	18801	18518
1	99	1643	1610	1599	1603	1918	2527	2902	3042	3161	3364	3609	3970	4339	4693	5286	5994	6735	7463	8053	8879	10043	10985	11994	13089	13802	14284
1	100	1011	1006	1023	1019	1024	1230	1627	1877	1976	2066	2212	2387	2647	2916	3183	3618	4143	4701	5260	5727	6366	7254	7986	8770	9614	10179
1	101	578	590	612	624	624	629	758	1007	1167	1236	1300	1401	1523	1702	1892	2084	2394	2770	3177	3593	3951	4430	5089	5641	6232	6866
1	102	304	322	342	356	364	365	370	447	599	697	743	786	853	934	1054	1182	1315	1528	1789	2075	2373	2638	2987	3461	3864	4296
1	103	161	159	177	189	198	203	204	208	253	341	398	427	455	498	549	626	709	799	939	1112	1307	1514	1702	1948	2277	2563
1	104	82	80	84	93	100	104	108	109	112	137	184	217	234	252	277	309	356	409	465	555	665	792	930	1060	1226	1446
1	105 - 109	73	67	68	70	75	82	87	91	95	100	116	148	182	206	229	256	291	337	390	453	543	661	805	979	1162	1378
1	110 and over	2	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	2	3	3	3	4	5	7	9	12
2	0	379368	377812	380859	383066	385043	386214	386824	386967	386949	386377	385047	383206	380999	378938	377255	375778	374596	373766	373330	373316	373757	374673	376042	377806	379896	382143
2	1	389551	381169	379245	382119	384330	386178	387307	387878	388026	388011	387444	386119	384283	382080	380022	378345	376872	375691	374864	374432	374419	374863	375780	377151	378917	381009
2	2	403951	391882	383072	380952	383829	385889	387688	388768	389339	389489	389475	388909	387586	385751	383549	381492	379816	378346	377166	376339	375909	375896	376340	377259	378630	380395
2	3	398986	405990	393537	384539	382427	385156	387171	388923	390004	390575	390726	390712	390146	388826	386991	384791	382733	381059	379591	378413	377584	377155	377143	377587	378506	379878
2	4	392241	400763	407432	394794	385806	383554	386237	388211	389964	391046	391617	391768	391756	391190	389871	388035	385838	383779	382105	380636	379460	378631	378203	378192	378636	379555
